,word,freq
6445,the,2044
38391,I,1752
25013,to,1628
31790,and,1035
24834,,979
37942,it,839
4610,my,837
10884,a,736
26318,Google,680
1658,is,600
44999,on,572
26551,phone,477
2361,in,444
23114,have,392
28387,not,384
29211,assistant,370
25870,for,367
14438,but,351
795,of,338
9473,that,328
5424,this,322
23456,with,318
4479,when,298
40690,voice,287
17349,me,267
30641,Assistant,264
2942,or,255
28020,Pixel,231
37534,as,205
15664,up,204
29004,google,202
38035,can,181
10405,do,173
5526,just,168
40656,get,164
6998,app,162
8094,from,156
3332,screen,154
11248,no,153
28852,work,150
34930,tried,148
14408,use,145
41832,I'm,142
21134,be,141
11130,an,140
46075,was,138
15656,all,133
23380,if,130
38604,only,127
45294,off,127
1513,using,122
14369,will,122
22685,When,121
16214,at,121
46862,I've,117
14097,It,116
11546,settings,115
41807,am,115
28961,issue,112
25737,The,111
36486,pixel,109
24702,has,109
18848,so,108
45172,any,107
33119,can't,106
43932,you,106
22915,working,103
15398,help,101
17985,call,100
42337,set,100
17997,i,96
32434,are,96
20714,time,94
34736,This,93
20890,then,93
13515,now,93
16167,say,92
38013,works,92
29299,don't,92
22060,device,91
42140,what,90
10872,like,89
9399,after,89
42462,does,86
33461,there,86
2767,doesn't,86
28083,want,85
20445,Android,85
33786,it's,84
44589,2,84
34825,know,84
6684,out,84
12401,My,83
8185,would,80
8553,other,78
42699,3,77
42113,still,77
33332,new,76
43417,by,76
32812,back,75
12603,also,75
11444,same,75
7433,which,74
39322,problem,73
29954,turn,72
13669,how,72
25280,nothing,67
43624,update,66
30700,music,64
38852,play,64
10844,had,64
8953,trying,64
21074,button,62
37573,find,62
31375,way,62
16056,some,61
46667,How,61
5479,while,60
7576,text,60
41149,make,60
45127,If,60
35055,one,59
47483,been,59
6758,feature,59
43982,account,57
31907,Is,57
34254,fine,57
16920,see,56
41721,ask,55
6977,try,54
4428,able,54
19600,fix,53
33711,about,53
5796,apps,52
22235,commands,51
32795,home,50
47325,hear,50
42681,4,49
34911,says,49
4239,search,49
4243,Any,49
2021,"Google""",49
45949,they,48
12125,support,48
40047,command,48
5891,audio,48
15125,"""",48
9440,without,47
28686,did,47
20701,But,46
17552,reset,46
5105,calls,46
29452,microphone,45
33245,again,45
28006,because,44
32556,them,44
6554,won't,44
37645,setting,43
17366,open,43
34450,volume,43
13393,respond,42
9514,seems,42
28098,mode,42
39095,saying,41
16906,always,41
39087,worked,41
27790,times,41
35535,turned,40
31585,through,40
47446,every,40
9623,sure,40
22211,something,39
47171,message,39
47577,your,39
20889,sound,38
43273,used,38
37751,else,38
42803,into,38
41561,So,38
40501,5,37
24047,go,37
27986,happens,37
31192,Home,37
5008,anyone,37
2626,start,37
16567,found,37
28715,even,37
37230,factory,36
20348,notification,36
18918,listening,36
18904,need,36
27254,before,36
45289,since,35
10920,being,35
6695,etc,35
18989,1,35
31812,didn't,34
23506,tell,34
11037,song,34
3855,Thanks,34
21519,devices,34
5630,4a,34
12922,days,34
4858,read,34
38194,change,34
12718,why,34
15880,headphones,33
45460,playing,33
10875,stop,33
12840,old,33
3808,got,33
15897,cache,33
45328,XL,33
5026,alarm,33
574,reminders,32
13584,11,32
20270,routine,32
4448,answer,32
23161,"""Hey",32
31287,having,32
868,Please,32
10392,option,32
31232,10,32
22072,default,32
39319,via,32
12382,down,31
14128,language,31
8957,news,31
34025,unlock,31
5739,everything,31
30930,already,31
39049,anything,31
28488,started,31
36815,ago,30
22261,either,30
21509,instead,30
29776,another,30
29189,ok,30
5790,Voice,30
16229,>,30
46056,few,30
29342,android,30
26909,very,30
5272,access,30
849,first,30
6393,longer,29
40793,where,29
9114,data,28
47215,car,28
36148,well,28
8745,activate,28
38553,bluetooth,28
25697,both,28
40536,please,28
46111,English,28
23363,However,27
41273,changed,27
1242,For,27
34333,Hey,27
15041,doing,27
44082,could,27
25924,Now,27
7287,really,26
17059,thing,26
46829,press,26
34679,notifications,26
3521,last,26
12471,locked,26
36363,take,26
3469,never,25
38881,match,25
45741,connected,25
13568,updates,25
28689,until,25
11065,give,24
41228,date,24
45339,send,24
15917,cannot,24
19334,getting,24
25677,question,24
19262,keep,24
1037,weather,24
26546,two,24
40323,com,23
43641,speaker,23
1515,version,23
39878,Tried,23
44443,No,23
40767,going,23
39988,goes,23
2478,many,23
2284,think,23
35942,pocket,23
38754,right,23
41524,Spotify,23
236,turning,23
20590,several,22
23935,online,22
15901,App,22
1661,enabled,22
14077,annoying,22
14381,bottom,22
46701,shows,22
46579,keeps,22
14080,control,22
22205,checked,22
22430,this?,22
42448,over,22
3420,issues,22
7086,clearing,22
13901,should,22
38584,someone,22
6339,more,22
384,It's,22
10255,stopped,22
31241,USB,21
5033,day,21
510,updated,21
45823,&,21
44599,put,21
23641,mic,21
38282,results,21
40476,isn't,21
13356,unable,21
43427,perfectly,21
40132,bought,21
6042,disabled,21
1815,download,21
27534,come,20
17028,appear,20
41665,often,20
44846,asking,20
42748,phones,20
18377,Can,20
17801,function,20
17562,listen,20
21932,Anyone,20
23075,Phone,20
26736,Bluetooth,20
37660,available,20
11459,response,20
