,word,freq
30845,the,2763
33420,I,2031
16483,to,1968
32017,and,1306
39771,,1285
41384,it,1028
47860,a,934
20592,my,874
48460,on,798
5300,is,759
45424,screen,726
37010,of,582
2552,in,574
33832,phone,541
53890,have,497
31504,but,447
53908,for,425
9073,that,424
55573,this,413
27029,not,405
5306,app,359
29509,with,293
11852,home,286
3266,up,282
43224,or,269
52804,when,262
20867,Pixel,260
23650,from,252
17,Google,229
9222,apps,227
49053,there,223
38967,do,215
51058,was,211
7620,can,202
14208,back,202
52384,be,202
3806,as,200
42805,all,199
1349,get,193
50520,tried,185
39343,just,183
11190,Android,180
1668,me,179
20093,no,174
10806,The,173
50862,pixel,172
42731,at,170
19945,i,168
23795,like,166
45030,are,164
45233,if,163
27303,an,162
35459,any,160
44730,has,153
26198,after,148
15922,so,144
20133,only,142
28610,I'm,139
14644,you,139
45676,off,138
41029,time,138
57232,I've,134
29529,see,132
22229,It,124
49298,2,124
22713,button,123
14248,way,123
1076,update,122
7662,My,122
38143,issue,118
35970,settings,116
48118,then,115
54788,am,113
56852,some,113
45914,notification,113
57019,bar,111
1562,want,111
54001,will,111
39881,When,110
31013,still,110
33669,which,110
17236,swipe,110
50775,don't,109
40533,work,108
46465,google,108
29178,what,107
52881,can't,107
31168,how,106
33153,reset,106
38900,3,103
11722,open,103
26554,now,102
53567,one,100
7007,mode,100
36883,would,99
34272,down,97
53556,had,97
37928,out,97
41937,use,96
53255,even,95
7200,other,95
53742,This,95
47894,doesn't,94
43770,using,93
31883,launcher,93
2392,help,93
1111,again,91
43688,know,91
31074,problem,91
33885,factory,89
51784,10,88
22584,11,85
15005,go,84
171,them,84
19012,Is,83
37636,fix,83
40143,bottom,83
15292,weather,82
8943,new,81
52545,lock,81
6691,same,81
20356,icons,81
8931,black,81
55166,they,80
23649,wallpaper,80
52978,does,79
57371,been,78
13845,icon,78
35859,it's,77
28204,change,75
43565,find,75
33880,power,74
499,working,73
25196,show,73
5124,by,72
45920,notifications,72
3299,widget,71
14039,display,71
7803,right,70
54900,How,69
32449,device,69
14473,also,68
39676,nothing,68
7028,option,67
18698,able,66
8513,set,66
4710,top,65
24357,into,65
5119,times,65
35383,turn,63
7629,shows,62
7075,5,62
30680,did,62
51737,XL,61
8653,used,60
